hotel;está_cancelado ;plazo_de_llegada;fecha_de_llegada_año;fecha_de_llegada_mes;fecha_de_llegada_número_de_semana;fecha_de_llegada_día_del_mes;estancias_en_noches_de_fin_de_semana;estancias_en_noches_de_semana ;adultos;niños;bebés;comida;país;segmento_de_mercado;canal_de_distribución ;es_huésped_repetido ;cancelaciones_anteriores ;reservas_anteriores_no_canceladas;tipo_habitación_reservada;tipo_habitación_asignada ;cambios_de_reserva;tipo_de_depósito ;agente;empresa ;días_en_lista_de_espera;tipo_de_cliente ;adr;plazas_de_aparcamiento_obligatorias;total_de_solicitudes_especiales;estado_de_la_reserva;fecha_del_estado_de_la_reserva
Hotel Andina La Terraza;no;38;2023;Agosto;36;31;0;3;3;1;0;BB;SWE;Online TA;TA/TO;0;0;0;F;F;0;No Deposit;8;NULL;0;Transitorio;199.3;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;0;2023;Septiembre;36;2;0;1;1;0;0;BB;JPN;Directo;Directo;0;0;0;B;B;0;No Deposit;14;NULL;0;Transitorio;150;0;0;Check-Out;9/03/2023
Hotel Andina La Terraza;no;21;2023;Agosto;36;28;2;4;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;123.5;0;0;Check-Out;9/03/2023
Hotel Andina La Terraza;no;48;2023;Septiembre;36;2;0;1;3;0;0;BB;JPN;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;9;NULL;0;Transitorio;142.2;0;2;Check-Out;9/03/2023
Hotel Andina La Terraza;no;33;2023;Agosto;36;29;1;4;2;0;0;BB;BEL;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;111.42;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;36;2023;Septiembre;36;1;0;2;2;0;0;SC;IRL;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;99;0;2;Check-Out;9/03/2023
Hotel Andina La Terraza;no;30;2023;Septiembre;36;1;0;2;2;0;0;HB;ESP;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;153;0;2;Check-Out;9/03/2023
Hotel Andina La Terraza;no;8;2023;Septiembre;36;2;0;1;2;0;0;SC;GBR;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;119;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;145;2023;Agosto;36;29;1;4;2;1;0;BB;DEU;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;128.34;0;0;Check-Out;9/03/2023
Hotel Andina La Terraza;no;222;2023;Agosto;36;31;0;3;2;0;0;BB;DEU;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;96.3;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;37;2023;Agosto;36;30;0;4;2;1;0;BB;ESP;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;135;1;2;Check-Out;9/03/2023
Hotel Andina La Terraza;no;38;2023;Septiembre;36;2;0;1;2;0;0;BB;NLD;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;109.8;0;0;Check-Out;9/03/2023
Hotel Andina La Terraza;no;222;2023;Agosto;36;31;0;3;2;0;0;BB;DEU;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;96.3;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;47;2023;Agosto;36;30;0;4;2;0;0;BB;FRA;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;109.8;0;2;Check-Out;9/03/2023
Hotel Andina La Terraza;no;34;2023;Agosto;36;30;0;4;1;0;0;BB;BEL;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;104.4;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;44;2023;Agosto;36;31;0;3;2;0;0;SC;BEL;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;99;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;35;2023;Agosto;36;31;0;3;2;0;0;SC;DEU;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;108;1;0;Check-Out;9/03/2023
